ts_code,trade_date,bid_open,bid_close,bid_high,bid_low,ask_open,ask_close,ask_high,ask_low,tick_qty
NZDJPY.FXCM,20231231,89.045,89.045,89.045,89.045,89.195,89.195,89.195,89.195,4
NZDUSD.FXCM,20231231,0.63146,0.63146,0.63146,0.63146,0.63258,0.63258,0.63258,0.63258,4
EURUSD.FXCM,20231231,1.10362,1.10362,1.10362,1.10361,1.10427,1.10427,1.10428,1.10427,32
GBPAUD.FXCM,20231231,1.86838,1.86838,1.86838,1.86838,1.87048,1.87048,1.87048,1.87048,4
USDJPY.FXCM,20231231,140.976,140.976,140.976,140.976,141.08,141.08,141.08,141.08,4
EURSEK.FXCM,20231231,11.1236,11.1236,11.1236,11.1236,11.1468,11.1468,11.1468,11.1468,4
EURCAD.FXCM,20231231,1.46141,1.46141,1.46141,1.46141,1.46357,1.46357,1.46357,1.46357,4
EURNZD.FXCM,20231231,1.74552,1.74552,1.74552,1.74552,1.74802,1.74802,1.74802,1.74802,4
EURGBP.FXCM,20231231,0.86693,0.86693,0.86693,0.86693,0.868,0.868,0.868,0.868,4
AUDNZD.FXCM,20231231,1.07688,1.07688,1.07688,1.07688,1.07868,1.07868,1.07868,1.07868,4
CHFJPY.FXCM,20231231,167.486,167.486,167.486,167.486,167.744,167.744,167.744,167.744,4
GBPNZD.FXCM,20231231,2.01323,2.01323,2.01323,2.01323,2.01634,2.01634,2.01634,2.01634,4
AUDJPY.FXCM,20231231,96.0,96.0,96.0,96.0,96.108,96.108,96.108,96.108,4
USDCHF.FXCM,20231231,0.84044,0.84044,0.84044,0.84044,0.84245,0.84245,0.84245,0.84245,4
EURTRY.FXCM,20231231,32.6373,32.6373,32.6373,32.6373,32.71514,32.71514,32.71514,32.71514,4
CADJPY.FXCM,20231231,106.34,106.34,106.34,106.34,106.481,106.481,106.481,106.481,4
USDHKD.FXCM,20231231,7.8078,7.8078,7.8078,7.8078,7.80956,7.80956,7.80956,7.80956,4
USDCAD.FXCM,20231231,1.32423,1.32423,1.32423,1.32423,1.32555,1.32555,1.32555,1.32555,4
EURAUD.FXCM,20231231,1.61897,1.61897,1.61897,1.61897,1.62129,1.62129,1.62129,1.62129,4
ZARJPY.FXCM,20231231,7.652,7.652,7.652,7.652,7.762,7.762,7.762,7.762,4
EURJPY.FXCM,20231231,155.61,155.61,155.61,155.61,155.789,155.789,155.789,155.789,4
USDSEK.FXCM,20231231,10.0781,10.0781,10.0781,10.0781,10.0993,10.0993,10.0993,10.0993,4
AUDCAD.FXCM,20231231,0.90165,0.90165,0.90165,0.90165,0.90341,0.90341,0.90341,0.90341,4
GBPCAD.FXCM,20231231,1.68666,1.68666,1.68666,1.68666,1.68851,1.68851,1.68851,1.68851,4
EURNOK.FXCM,20231231,11.2233,11.2233,11.2233,11.2233,11.2366,11.2366,11.2366,11.2366,4
NZDCHF.FXCM,20231231,0.53057,0.53057,0.53057,0.53057,0.53307,0.53306,0.53307,0.53306,5
GBPUSD.FXCM,20231231,1.27285,1.27285,1.27285,1.27285,1.27338,1.27338,1.27338,1.27338,4
USDCNH.FXCM,20231231,7.12068,7.12068,7.12068,7.12068,7.13032,7.13032,7.13032,7.13032,4
USDMXN.FXCM,20231231,16.96305,16.96305,16.96305,16.96305,16.97915,16.97915,16.97915,16.97915,4
GBPJPY.FXCM,20231231,179.454,179.454,179.454,179.454,179.693,179.693,179.693,179.693,4
AUDUSD.FXCM,20231231,0.68094,0.68094,0.68094,0.68094,0.68172,0.68172,0.68172,0.68172,4
USDTRY.FXCM,20231231,29.51098,29.51098,29.51098,29.51098,29.58403,29.58403,29.58403,29.58403,2
AUDCHF.FXCM,20231231,0.57197,0.57197,0.57197,0.57197,0.57381,0.57381,0.57381,0.57381,4
EURCHF.FXCM,20231231,0.92849,0.92849,0.92849,0.92849,0.92927,0.92927,0.92927,0.92927,4
CADCHF.FXCM,20231231,0.63438,0.63438,0.63438,0.63438,0.6355,0.6355,0.6355,0.6355,4
GBPCHF.FXCM,20231231,1.07077,1.07077,1.07077,1.07077,1.07214,1.07214,1.07214,1.07214,4
TRYJPY.FXCM,20231231,4.717,4.717,4.717,4.717,4.918,4.918,4.918,4.918,4
USDNOK.FXCM,20231231,10.168,10.168,10.168,10.168,10.1812,10.1812,10.1812,10.1812,4
XAUUSD.FXCM,20231231,2062.14,2062.14,2062.14,2062.14,2063.66,2063.66,2063.66,2063.66,12
NZDCAD.FXCM,20231231,0.83683,0.83683,0.83683,0.83683,0.83837,0.83837,0.83837,0.83837,4
EURHUF.FXCM,20231231,382.68,382.68,382.68,382.68,383.63,383.63,383.63,383.63,4
USDHUF.FXCM,20231231,346.33,346.33,346.33,346.33,348.0,348.0,348.0,348.0,4
USDZAR.FXCM,20231231,18.2809,18.2809,18.2809,18.2809,18.3143,18.3143,18.3143,18.3143,4
XAGUSD.FXCM,20231231,23.732,23.732,23.732,23.732,23.856,23.856,23.856,23.856,12
USDZAR.FXCM,20231230,18.2809,18.2809,18.2809,18.2809,18.3143,18.3143,18.3143,18.3143,2
USDCHF.FXCM,20231230,0.84044,0.84044,0.84044,0.84044,0.84245,0.84245,0.84245,0.84245,2
USDCNH.FXCM,20231230,7.12068,7.12068,7.12068,7.12068,7.13032,7.13032,7.13032,7.13032,2
EURNZD.FXCM,20231230,1.74552,1.74552,1.74552,1.74552,1.74802,1.74802,1.74802,1.74802,2
AUDNZD.FXCM,20231230,1.07688,1.07688,1.07688,1.07688,1.07868,1.07868,1.07868,1.07868,2
EURAUD.FXCM,20231230,1.61897,1.61897,1.61897,1.61897,1.62129,1.62129,1.62129,1.62129,2
TRYJPY.FXCM,20231230,4.717,4.717,4.717,4.717,4.918,4.918,4.918,4.918,2
NZDJPY.FXCM,20231230,89.045,89.045,89.045,89.045,89.195,89.195,89.195,89.195,2
NZDUSD.FXCM,20231230,0.63146,0.63146,0.63146,0.63146,0.63258,0.63258,0.63258,0.63258,2
CHFJPY.FXCM,20231230,167.486,167.486,167.486,167.486,167.744,167.744,167.744,167.744,2
XAUUSD.FXCM,20231230,2062.14,2062.14,2062.14,2062.14,2063.66,2063.66,2063.66,2063.66,6
USDJPY.FXCM,20231230,140.976,140.976,140.976,140.976,141.08,141.08,141.08,141.08,2
EURTRY.FXCM,20231230,32.6373,32.6373,32.6373,32.6373,32.71514,32.71514,32.71514,32.71514,2
GBPCAD.FXCM,20231230,1.68666,1.68666,1.68666,1.68666,1.68851,1.68851,1.68851,1.68851,2
EURJPY.FXCM,20231230,155.61,155.61,155.61,155.61,155.789,155.789,155.789,155.789,2
AUDCAD.FXCM,20231230,0.90165,0.90165,0.90165,0.90165,0.90341,0.90341,0.90341,0.90341,2
GBPAUD.FXCM,20231230,1.86838,1.86838,1.86838,1.86838,1.87048,1.87048,1.87048,1.87048,2
GBPCHF.FXCM,20231230,1.07077,1.07077,1.07077,1.07077,1.07214,1.07214,1.07214,1.07214,2
AUDJPY.FXCM,20231230,96.0,96.0,96.0,96.0,96.108,96.108,96.108,96.108,2
AUDUSD.FXCM,20231230,0.68094,0.68094,0.68094,0.68094,0.68172,0.68172,0.68172,0.68172,2
CADCHF.FXCM,20231230,0.63438,0.63438,0.63438,0.63438,0.6355,0.6355,0.6355,0.6355,2
USDSEK.FXCM,20231230,10.0781,10.0781,10.0781,10.0781,10.0993,10.0993,10.0993,10.0993,2
EURHUF.FXCM,20231230,382.68,382.68,382.68,382.68,383.63,383.63,383.63,383.63,2
USDCAD.FXCM,20231230,1.32423,1.32423,1.32423,1.32423,1.32555,1.32555,1.32555,1.32555,2
GBPNZD.FXCM,20231230,2.01323,2.01323,2.01323,2.01323,2.01634,2.01634,2.01634,2.01634,2
EURNOK.FXCM,20231230,11.2233,11.2233,11.2233,11.2233,11.2366,11.2366,11.2366,11.2366,2
ZARJPY.FXCM,20231230,7.652,7.652,7.652,7.652,7.762,7.762,7.762,7.762,2
XAGUSD.FXCM,20231230,23.732,23.732,23.732,23.732,23.856,23.856,23.856,23.856,6
NZDCHF.FXCM,20231230,0.53057,0.53057,0.53057,0.53057,0.53307,0.53306,0.53307,0.53306,3
USDMXN.FXCM,20231230,16.96305,16.96305,16.96305,16.96305,16.97915,16.97915,16.97915,16.97915,2
USDHKD.FXCM,20231230,7.8078,7.8078,7.8078,7.8078,7.80956,7.80956,7.80956,7.80956,2
EURCAD.FXCM,20231230,1.46141,1.46141,1.46141,1.46141,1.46357,1.46357,1.46357,1.46357,2
NZDCAD.FXCM,20231230,0.83683,0.83683,0.83683,0.83683,0.83837,0.83837,0.83837,0.83837,2
CADJPY.FXCM,20231230,106.34,106.34,106.34,106.34,106.481,106.481,106.481,106.481,2
EURUSD.FXCM,20231230,1.10369,1.10362,1.10369,1.10361,1.10455,1.10427,1.10455,1.10427,54
GBPUSD.FXCM,20231230,1.27285,1.27285,1.27285,1.27285,1.27338,1.27338,1.27338,1.27338,2
EURSEK.FXCM,20231230,11.1236,11.1236,11.1236,11.1236,11.1468,11.1468,11.1468,11.1468,2
USDTRY.FXCM,20231230,29.50459,29.51098,29.51098,29.50459,29.6406,29.58403,29.6406,29.58403,2
EURCHF.FXCM,20231230,0.92849,0.92849,0.92849,0.92849,0.92927,0.92927,0.92927,0.92927,2
GBPJPY.FXCM,20231230,179.454,179.454,179.454,179.454,179.693,179.693,179.693,179.693,2
USDHUF.FXCM,20231230,346.33,346.33,346.33,346.33,348.0,348.0,348.0,348.0,2
EURGBP.FXCM,20231230,0.86693,0.86693,0.86693,0.86693,0.868,0.868,0.868,0.868,2
USDNOK.FXCM,20231230,10.168,10.168,10.168,10.168,10.1812,10.1812,10.1812,10.1812,2
AUDCHF.FXCM,20231230,0.57197,0.57197,0.57197,0.57197,0.57381,0.57381,0.57381,0.57381,2
USDCHF.FXCM,20231229,0.84134,0.84043,0.84134,0.84043,0.84184,0.84246,0.84246,0.84184,1
NZDCHF.FXCM,20231229,0.53057,0.53057,0.53057,0.53057,0.53307,0.53306,0.53307,0.53306,1
GBPUSD.FXCM,20231229,1.27227,1.27285,1.27285,1.27227,1.27315,1.27338,1.27338,1.27315,1
NZDUSD.FXCM,20231229,0.63161,0.63146,0.63161,0.63146,0.63206,0.63258,0.63258,0.63206,1
CON.DE,20231228,76.68,76.81,76.97,75.69,76.8,76.99,77.52,76.71,3028
BA.US,20231228,260.26,260.48,262.0,259.34,260.59,260.81,262.39,259.79,18684
TRIP.US,20231228,21.29,21.46,22.02,21.1,21.42,21.59,22.22,21.42,8167
ETSY.US,20231228,81.89,80.81,82.45,80.52,82.01,81.22,82.75,80.8,6110
CANNABIS,20231228,1529.3,1511.2,1529.3,1499.9,1530.3,1512.2,1545.5,1504.6,3983
TRAVEL,20231228,4413.3,4423.8,4443.9,4405.5,4414.3,4424.8,4466.1,4412.8,23934
PYPL.US,20231228,63.03,61.34,63.09,61.08,63.16,61.47,63.25,61.21,26178
AIRLINES,20231228,2049.7,2013.5,2049.7,2010.2,2050.7,2014.5,2050.8,2011.3,25155
RIVN.US,20231228,23.48,23.41,23.87,23.03,23.61,23.54,24.02,23.16,11190
JD.US,20231228,28.47,28.85,29.0,28.47,28.6,28.97,29.14,28.6,5430
BITF.US,20231228,3.25,2.85,3.45,2.78,3.38,2.98,3.58,2.91,3258
LCATTLEF,20231228,169.039,168.499,169.939,168.312,169.139,168.599,170.039,168.412,4818
CZR.US,20231228,47.67,46.87,48.06,46.63,47.8,47.0,48.31,46.82,3889
CA.FR,20231228,16.5,16.45,16.58,15.74,16.64,16.58,16.73,16.58,1941
TWLO.US,20231228,77.11,75.7,77.47,75.5,77.24,76.06,77.67,75.76,4644
AMC.US,20231228,6.15,6.05,6.17,5.99,6.28,6.18,6.33,6.12,2447
DIS.US,20231228,90.32,90.19,90.5,89.74,90.55,90.41,90.73,89.97,27966
KO.US,20231228,58.71,58.87,58.92,58.56,58.84,59.0,59.05,58.69,6003
FVRR.US,20231228,27.93,27.04,28.89,27.03,28.35,27.43,29.07,27.22,2311
MARA.US,20231228,28.04,23.42,29.6,22.98,28.17,23.55,29.74,23.11,55004
H.US,20231228,130.36,130.55,131.31,129.78,130.8,130.68,131.84,130.28,2082
JPM.US,20231228,170.15,170.07,170.53,169.44,170.48,170.4,170.87,169.79,59218
US.AUTO,20231228,4334.8,4280.8,4348.7,4275.1,4335.8,4281.8,4354.1,4277.7,120653
NXE.US,20231228,6.75,6.94,7.01,6.75,6.89,7.07,7.15,6.89,1520
SONY.US,20231228,18.92,18.9,18.96,18.83,18.95,18.97,19.0,18.88,914
NIO.US,20231228,9.37,9.0,9.46,8.88,9.5,9.13,9.59,9.02,2676
CPNG.US,20231228,16.32,16.12,16.37,16.04,16.44,16.25,16.51,16.17,2419
HOG.US,20231228,37.2,36.76,37.38,36.55,37.34,36.89,37.57,36.82,2324
MGM.US,20231228,44.97,44.64,45.17,44.44,45.11,44.77,45.49,44.64,21947
LVS.US,20231228,49.03,49.12,49.35,48.82,49.16,49.26,49.52,49.03,16329
RBLX.US,20231228,46.4,45.69,46.97,45.6,46.54,45.82,47.11,45.75,33795
ABNB.US,20231228,136.8,136.09,137.69,135.29,137.03,136.31,138.0,135.57,23088
ESPORTS,20231228,5672.7,5658.5,5720.5,5607.1,5673.7,5659.5,5723.4,5609.5,219900
PDD.US,20231228,145.19,146.12,147.03,144.57,145.41,146.34,147.31,144.97,20797
TSLA.US,20231228,253.11,248.37,254.96,247.31,253.34,248.6,255.31,247.57,87645
SNOW.US,20231228,200.92,198.61,201.6,197.97,201.54,199.4,201.99,198.48,20566
